,a,b,c,d,e,f
A,5.1,4.9,4.7,4.6,5.0,5.4
B,4.6,5.0,4.4,4.9,5.4,4.8
C,4.8,4.3,5.8,5.7,5.4,5.1
D,5.7,5.1,5.4,5.1,4.6,5.1
E,4.8,5.0,5.0,5.2,5.2,4.7
F,4.8,5.4,5.2,5.5,4.9,5.0
G,5.5,4.9,4.4,5.1,5.0,4.5
H,4.4,5.0,5.1,4.8,5.1,4.6
I,5.3,5.0,7.0,6.4,6.9,5.5
J,6.5,5.7,6.3,4.9,6.6,5.2
K,5.0,5.9,6.0,6.1,5.6,6.7
L,5.6,5.8,6.2,5.6,5.9,6.1
M,6.3,6.1,6.4,6.6,6.8,6.7
N,6.0,5.7,5.5,5.5,5.8,6.0
O,5.4,6.0,6.7,6.3,5.6,5.5
P,5.5,6.1,5.8,5.0,5.6,5.7
Q,5.7,6.2,5.1,5.7,6.3,5.8
R,7.1,6.3,6.5,7.6,4.9,7.3
S,6.7,7.2,6.5,6.4,6.8,5.7
T,5.8,6.4,6.5,7.7,7.7,6.0
U,6.9,5.6,7.7,6.3,6.7,7.2
V,6.2,6.1,6.4,7.2,7.4,7.9
W,6.4,6.3,6.1,7.7,6.3,6.4
X,6.0,6.9,6.7,6.9,5.8,6.8
Y,6.7,6.7,6.3,6.5,6.2,5.9
